model,paper-title href,accuracy,parameters,github href,paper href,paper title,year,Industry Affiliation,Academia Affiliation,Country,Extra Training Data
DenseNet,https://paperswithcode.com/paper/densely-connected-convolutional-networks,96.54,,https://paperswithcode.com/paper/densely-connected-convolutional-networks#code,https://paperswithcode.com/paper/densely-connected-convolutional-networks/review/?hl=2487,Densely Connected Convolutional Networks,2016,Facebook AI Research,"Cornell University, Tsinghua University",,No
SKNet-29,https://paperswithcode.com/paper/selective-kernel-networks,96.53,,https://paperswithcode.com/paper/selective-kernel-networks#code,https://paperswithcode.com/paper/selective-kernel-networks/review/?hl=11233,Selective Kernel Networks,2019,Momenta,"Tsinghua University, Nanjing University of Science and Technology, Nanjing University",,No
Fractional MP,https://paperswithcode.com/paper/fractional-max-pooling,96.5,,https://paperswithcode.com/paper/fractional-max-pooling#code,https://paperswithcode.com/paper/fractional-max-pooling/review/?hl=561,Fractional Max-Pooling,2014,,University of Warwick,,No
PDO-eConv,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator,96.5,,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator#code,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator/review/?hl=33602,PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions,2020,,Peking University,,No
UPANets,https://paperswithcode.com/paper/upanets-learning-from-the-universal-pixel,96.47,,https://paperswithcode.com/paper/upanets-learning-from-the-universal-pixel#code,https://paperswithcode.com/paper/upanets-learning-from-the-universal-pixel#results,UPANets: Learning from the Universal Pixel Attention Networks,2021,,"The University of Manchester, Yunnan University,  National Taipei University of Technology, National Chiao Tung University",,No
Neural Architecture Search,https://paperswithcode.com/paper/neural-architecture-search-with-reinforcement,96.4,,https://paperswithcode.com/paper/neural-architecture-search-with-reinforcement#code,https://paperswithcode.com/paper/neural-architecture-search-with-reinforcement/review/?hl=586,Neural Architecture Search with Reinforcement Learning,2016,Google Brain,,,No
VGG11B,https://paperswithcode.com/paper/training-neural-networks-with-local-error,96.4,,https://paperswithcode.com/paper/training-neural-networks-with-local-error#code,https://paperswithcode.com/paper/training-neural-networks-with-local-error/review/?hl=11234,Training Neural Networks with Local Error Signals,2019,Kongsberg Seatex,,,No
Residual Gates + WRN,https://paperswithcode.com/paper/learning-identity-mappings-with-residual,96.35,,,https://paperswithcode.com/paper/learning-identity-mappings-with-residual/review/?hl=8227,Learning Identity Mappings with Residual Gates,2016,,Federal University of Rio de Janeiro,,No
PDO-eConv,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator,96.32,,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator#code,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator/review/?hl=33600,PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions,2020,,Peking University,,No
SimpleNetv2,https://paperswithcode.com/paper/towards-principled-design-of-deep,96.29,,https://paperswithcode.com/paper/towards-principled-design-of-deep#code,https://paperswithcode.com/paper/towards-principled-design-of-deep/review/?hl=3856,Towards Principled Design of Deep Convolutional Networks: Introducing SimpNet,2018,"Arvenware, Technicolor","University of Bonn, Institute For Research In Fundamental Sciences",,No
ResNet56 with reSGHMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange,96.12,,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange#code,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange/review/?hl=24908,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC,2020,,"University of Southern California, Purdue University",,No
Wide ResNet,https://paperswithcode.com/paper/wide-residual-networks,96.11,,https://paperswithcode.com/paper/wide-residual-networks#code,https://paperswithcode.com/paper/wide-residual-networks/review/?hl=2485,Wide Residual Networks,2016,,"Universitat Paris-Est, EcoledesPonts Paris Tech",,No
Mixer-S/16- SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,96.1,,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34324,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,2021,Google ,UCLA,,No
PreActResNet18,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial,96.03,,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial#code,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial#results,Regularizing Neural Networks via Adversarial Model Perturbation,2020,,"Beihang University, University of Ottawa",,No
ResNet-50x1-ACG,https://paperswithcode.com/paper/effect-of-large-scale-pre-training-on-full,95.78,,https://paperswithcode.com/paper/effect-of-large-scale-pre-training-on-full#code,https://paperswithcode.com/paper/effect-of-large-scale-pre-training-on-full/review/?hl=34673,Effect of Pre-Training Scale on Intra- and Inter-Domain Full and Few-Shot Transfer Learning for Natural and Medical X-Ray Chest Images,2021,Helmholtz AI,,,No
ACN,https://paperswithcode.com/paper/striving-for-simplicity-the-all-convolutional,95.6,,https://paperswithcode.com/paper/striving-for-simplicity-the-all-convolutional#code,https://paperswithcode.com/paper/striving-for-simplicity-the-all-convolutional/review/?hl=559,Striving for Simplicity: The All Convolutional Net,2014,,University of Freiburg,,No
Evolution ensemble,https://paperswithcode.com/paper/large-scale-evolution-of-image-classifiers,95.6,,https://paperswithcode.com/paper/large-scale-evolution-of-image-classifiers#code,https://paperswithcode.com/paper/large-scale-evolution-of-image-classifiers/review/?hl=587,Large-Scale Evolution of Image Classifiers,2017,"Google Brain, Google ",,,No
SimpleNetv1,https://paperswithcode.com/paper/lets-keep-it-simple-using-simple,95.51,,https://paperswithcode.com/paper/lets-keep-it-simple-using-simple#code,https://paperswithcode.com/paper/lets-keep-it-simple-using-simple/review/?hl=3855,"Lets keep it simple, Using simple architectures to outperform deeper and more complex architectures",2016,"Technicolor, Sensifai","Islamic Azad University, Institute For Research In Fundamental Sciences",,No
ResNet-1001,https://paperswithcode.com/paper/identity-mappings-in-deep-residual-networks,95.4,,https://paperswithcode.com/paper/identity-mappings-in-deep-residual-networks#code,https://paperswithcode.com/paper/identity-mappings-in-deep-residual-networks/review/?hl=584,Identity Mappings in Deep Residual Networks,2016,Microsoft,,,No
ResNet32 with reSGHMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange,95.35,,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange#code,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange/review/?hl=24906,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC,2020,,"University of Southern California, Purdue University",,No
ResNet-18+MM+FRL,https://paperswithcode.com/paper/towards-class-specific-unit,95.33,,,https://paperswithcode.com/paper/towards-class-specific-unit/review/?hl=37892,Learning Class Unique Features in Fine-Grained Visual Classification,2020,Elecholic,"Jinan University, Tsinghua University, University of Toronto, The Chinese University of Hong Kong",,No
CCT-6/3x1,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact,95.29,3.17M,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact#code,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact/review/?hl=35882,Escaping the Big Data Paradigm with Compact Transformers,2021,PicsArt Inc.,"UIUC, University of Oregon",,No
MomentumNet,https://paperswithcode.com/paper/momentum-residual-neural-networks,95.18 ± 0.06,,https://paperswithcode.com/paper/momentum-residual-neural-networks#code,https://paperswithcode.com/paper/momentum-residual-neural-networks/review/?hl=31936,Momentum Residual Neural Networks,2021,Google Brain,"Ecole Normale, CNRS",,No
SRM-ResNet-56,https://paperswithcode.com/paper/srm-a-style-based-recalibration-module-for,95.05,,https://paperswithcode.com/paper/srm-a-style-based-recalibration-module-for#code,https://paperswithcode.com/paper/srm-a-style-based-recalibration-module-for/review/?hl=5104,SRM : A Style-based Recalibration Module for Convolutional Neural Networks,2019,Lunit Inc.,,,No
MixMatch,https://paperswithcode.com/paper/mixmatch-a-holistic-approach-to-semi,95.05,,https://paperswithcode.com/paper/mixmatch-a-holistic-approach-to-semi#code,https://paperswithcode.com/paper/mixmatch-a-holistic-approach-to-semi/review/?hl=11235,MixMatch: A Holistic Approach to Semi-Supervised Learning,2019,Google ,,,No
WRN-22-8,https://paperswithcode.com/paper/sparse-networks-from-scratch-faster-training,95.04,,https://paperswithcode.com/paper/sparse-networks-from-scratch-faster-training#code,https://paperswithcode.com/paper/sparse-networks-from-scratch-faster-training/review/?hl=11236,Sparse Networks from Scratch: Faster Training without Losing Performance,2019,,University of Washington,,No
LP-BNN,https://paperswithcode.com/paper/encoding-the-latent-posterior-of-bayesian,95.02,,https://paperswithcode.com/paper/encoding-the-latent-posterior-of-bayesian#code,https://paperswithcode.com/paper/encoding-the-latent-posterior-of-bayesian/review/?hl=22373,Encoding the latent posterior of Bayesian Neural Networks for uncertainty quantification,2020,Valeo,"Institut Polytechnique de Paris, Universite Paris-Saclay, Aix Marseille University",,No
Prodpoly,https://paperswithcode.com/paper/deep-polynomial-neural-networks,94.9,,https://paperswithcode.com/paper/deep-polynomial-neural-networks#code,https://paperswithcode.com/paper/deep-polynomial-neural-networks/review/?hl=27347,Deep Polynomial Neural Networks,2020,,"University of Athens, EPFL, Imperial College London",,No
Stochastic Depth,https://paperswithcode.com/paper/deep-networks-with-stochastic-depth,94.77,,https://paperswithcode.com/paper/deep-networks-with-stochastic-depth#code,https://paperswithcode.com/paper/deep-networks-with-stochastic-depth/review/?hl=2482,Deep Networks with Stochastic Depth,2016,,"Tsinghua University, Cornell University",,No
VGG-19 with GradInit,https://paperswithcode.com/paper/gradinit-learning-to-initialize-neural,94.71,20.03M,https://paperswithcode.com/paper/gradinit-learning-to-initialize-neural#code,https://paperswithcode.com/paper/gradinit-learning-to-initialize-neural#results,GradInit: Learning to Initialize Neural Networks for Stable and Efficient Training,2021,Google ,University of Maryland CollegePark,,No
ResNet20 with reSGHMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange,94.62,,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange#code,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange/review/?hl=24904,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC,2020,,"University of Southern California, Purdue University",,No
PDO-eConv,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator,94.62,,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator#code,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator/review/?hl=33598,PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions,2020,,Peking University,,No
Evolution,https://paperswithcode.com/paper/large-scale-evolution-of-image-classifiers,94.6,,https://paperswithcode.com/paper/large-scale-evolution-of-image-classifiers#code,https://paperswithcode.com/paper/large-scale-evolution-of-image-classifiers/review/?hl=588,Large-Scale Evolution of Image Classifiers,2017,"Google Brain, Google ",,,No
RL+NT,https://paperswithcode.com/paper/efficient-architecture-search-by-network,94.6,,https://paperswithcode.com/paper/efficient-architecture-search-by-network#code,https://paperswithcode.com/paper/efficient-architecture-search-by-network/review/?hl=590,Efficient Architecture Search by Network Transformation,2017,,"University College London, Shanghai Jiao Tong University",,No
ResNet+ELU,https://paperswithcode.com/paper/deep-residual-networks-with-exponential,94.4,,,https://paperswithcode.com/paper/deep-residual-networks-with-exponential/review/?hl=585,Deep Residual Networks with Exponential Linear Unit,2016,,VJTI,,No
Deep Complex,https://paperswithcode.com/paper/deep-complex-networks,94.4,,https://paperswithcode.com/paper/deep-complex-networks#code,https://paperswithcode.com/paper/deep-complex-networks/review/?hl=589,Deep Complex Networks,2017,"Element AI, Microsoft","Mila - Quebec AI Institute, Polytechnique Montreal",,No
PDO-eConv,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator,94.35,,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator#code,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator/review/?hl=33596,PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions,2020,,Peking University,,No
Stochastic Optimization of Plain Convolutional Neural Networks with Simple methods,https://paperswithcode.com/paper/stochastic-optimization-of-plain,94.29,4.3M,,https://paperswithcode.com/paper/stochastic-optimization-of-plain#results,Stochastic Optimization of Plain Convolutional Neural Networks with Simple methods,2020,,Pace University,,No
Fitnet4-LSUV,https://paperswithcode.com/paper/all-you-need-is-a-good-init,94.2,,https://paperswithcode.com/paper/all-you-need-is-a-good-init#code,https://paperswithcode.com/paper/all-you-need-is-a-good-init/review/?hl=581,All you need is a good init,2015,,Czech Technical University in Prague,,No
ResNet 9 + Mish,https://paperswithcode.com/paper/mish-a-self-regularized-non-monotonic-neural,94.05,,https://paperswithcode.com/paper/mish-a-self-regularized-non-monotonic-neural#code,https://paperswithcode.com/paper/mish-a-self-regularized-non-monotonic-neural#results,Mish: A Self Regularized Non-Monotonic Activation Function,2019,,KIIT,,No
Tree+Max-Avg pooling,https://paperswithcode.com/paper/generalizing-pooling-functions-in,94,,https://paperswithcode.com/paper/generalizing-pooling-functions-in#code,https://paperswithcode.com/paper/generalizing-pooling-functions-in/review/?hl=573,"Generalizing Pooling Functions in Convolutional Neural Networks: Mixed, Gated, and Tree",2015,,UC San Diego,,No
Standard ACNet,https://paperswithcode.com/paper/adaptively-connected-neural-networks,94,,https://paperswithcode.com/paper/adaptively-connected-neural-networks#code,https://paperswithcode.com/paper/adaptively-connected-neural-networks/review/?hl=11237,Adaptively Connected Neural Networks,2019,,"SunYat-sen University, UCLA",,No
SA quadratic embedding,https://paperswithcode.com/paper/on-the-relationship-between-self-attention-1,93.8,,https://paperswithcode.com/paper/on-the-relationship-between-self-attention-1#code,https://paperswithcode.com/paper/on-the-relationship-between-self-attention-1/review/?hl=11238,On the Relationship between Self-Attention and Convolutional Layers,2019,,EPFL,,No
SSCNN,https://paperswithcode.com/paper/spatially-sparse-convolutional-neural,93.7,,https://paperswithcode.com/paper/spatially-sparse-convolutional-neural#code,https://paperswithcode.com/paper/spatially-sparse-convolutional-neural/review/?hl=555,Spatially-sparse convolutional neural networks,2014,,University of Warwick,,No
NNCLR,https://paperswithcode.com/paper/with-a-little-help-from-my-friends-nearest,93.7,,https://paperswithcode.com/paper/with-a-little-help-from-my-friends-nearest#code,https://paperswithcode.com/paper/with-a-little-help-from-my-friends-nearest/review/?hl=31444,With a Little Help from My Friends: Nearest-Neighbor Contrastive Learning of Visual Representations,2021,"Google, DeepMind",,,No
Tuned CNN,https://paperswithcode.com/paper/scalable-bayesian-optimization-using-deep,93.6,,https://paperswithcode.com/paper/scalable-bayesian-optimization-using-deep#code,https://paperswithcode.com/paper/scalable-bayesian-optimization-using-deep/review/?hl=562,Scalable Bayesian Optimization Using Deep Neural Networks,2015,Intel Corp.,"Harvard University, MIT, University of Toronto, NERSC",,No
Exponential Linear Units,https://paperswithcode.com/paper/fast-and-accurate-deep-network-learning-by,93.5,,https://paperswithcode.com/paper/fast-and-accurate-deep-network-learning-by#code,https://paperswithcode.com/paper/fast-and-accurate-deep-network-learning-by/review/?hl=582,Fast and Accurate Deep Network Learning by Exponential Linear Units (ELUs),2015,,Johannes Kepler University,,No
BNM NiN,https://paperswithcode.com/paper/batch-normalized-maxout-network-in-network,93.3,,https://paperswithcode.com/paper/batch-normalized-maxout-network-in-network#code,https://paperswithcode.com/paper/batch-normalized-maxout-network-in-network/review/?hl=575,Batch-normalized Maxout Network in Network,2015,,National Chiao Tung University,,No
Universum Prescription,https://paperswithcode.com/paper/universum-prescription-regularization-using,93.3,,,https://paperswithcode.com/paper/universum-prescription-regularization-using/review/?hl=583,Universum Prescription: Regularization using Unlabeled Data,2015,,New York University,,No
CMsC,https://paperswithcode.com/paper/competitive-multi-scale-convolution,93.1,,,https://paperswithcode.com/paper/competitive-multi-scale-convolution/review/?hl=576,Competitive Multi-scale Convolution,2015,,The University of Adelaide,,No
NiN+APL,https://paperswithcode.com/paper/learning-activation-functions-to-improve-deep,92.5,,https://paperswithcode.com/paper/learning-activation-functions-to-improve-deep#code,https://paperswithcode.com/paper/learning-activation-functions-to-improve-deep/review/?hl=560,Learning Activation Functions to Improve Deep Neural Networks,2014,Adobe Research,UC Irvine,,No
VDN,https://paperswithcode.com/paper/training-very-deep-networks,92.4,,https://paperswithcode.com/paper/training-very-deep-networks#code,https://paperswithcode.com/paper/training-very-deep-networks/review/?hl=577,Training Very Deep Networks,2015,,IDSIA,,No
ResNet,https://paperswithcode.com/paper/a-bregman-learning-framework-for-sparse,92.3,,https://paperswithcode.com/paper/a-bregman-learning-framework-for-sparse#code,https://paperswithcode.com/paper/a-bregman-learning-framework-for-sparse#results,A Bregman Learning Framework for Sparse Neural Networks,2021,,University of Erlangen-Nuremberg,,No
SWWAE,https://paperswithcode.com/paper/stacked-what-where-auto-encoders,92.2,,https://paperswithcode.com/paper/stacked-what-where-auto-encoders#code,https://paperswithcode.com/paper/stacked-what-where-auto-encoders/review/?hl=574,Stacked What-Where Auto-encoders,2015,,New York University,,No
FlexTCN-7,https://paperswithcode.com/paper/flexconv-continuous-kernel-convolutions-with-1,92.2±0.1,0.67M,https://paperswithcode.com/paper/flexconv-continuous-kernel-convolutions-with-1#code,https://paperswithcode.com/paper/flexconv-continuous-kernel-convolutions-with-1/review/?hl=40955,FlexConv: Continuous Kernel Convolutions with Differentiable Kernel Sizes,2021,,"Delft University of Technology, University of Amsterdam, Vrije Universiteit Amsterdam",,No
ReActNet-18,https://paperswithcode.com/paper/bnn-bn-training-binary-neural-networks,92.08,,https://paperswithcode.com/paper/bnn-bn-training-binary-neural-networks#code,https://paperswithcode.com/paper/bnn-bn-training-binary-neural-networks/review/?hl=30308,"""BNN - BN = ?"": Training Binary Neural Networks without Batch Normalization",2021,,"University of Science and Technology China, UT Austin, Cornell University, Carnegie Mellon University",,No
ResNet v2-20,https://paperswithcode.com/paper/mish-a-self-regularized-non-monotonic-neural,92.02,,https://paperswithcode.com/paper/mish-a-self-regularized-non-monotonic-neural#code,https://paperswithcode.com/paper/mish-a-self-regularized-non-monotonic-neural#results,Mish: A Self Regularized Non-Monotonic Activation Function,2019,,KIIT,,No
DSN,https://paperswithcode.com/paper/deeply-supervised-nets,91.8,,https://paperswithcode.com/paper/deeply-supervised-nets#code,https://paperswithcode.com/paper/deeply-supervised-nets/review/?hl=553,Deeply-Supervised Nets,2014,Microsoft,UC San Diego,,No
BinaryConnect,https://paperswithcode.com/paper/binaryconnect-training-deep-neural-networks,91.7,,https://paperswithcode.com/paper/binaryconnect-training-deep-neural-networks#code,https://paperswithcode.com/paper/binaryconnect-training-deep-neural-networks/review/?hl=578,BinaryConnect: Training Deep Neural Networks with binary weights during propagations,2015,,"Polytechnique Montreal, University of Montreal",,No
CLS-GAN,https://paperswithcode.com/paper/loss-sensitive-generative-adversarial,91.7,,https://paperswithcode.com/paper/loss-sensitive-generative-adversarial#code,https://paperswithcode.com/paper/loss-sensitive-generative-adversarial/review/?hl=2075,Loss-Sensitive Generative Adversarial Networks on Lipschitz Densities,2017,,University of Central Florida,,No
MIM,https://paperswithcode.com/paper/on-the-importance-of-normalisation-layers-in,91.5,,,https://paperswithcode.com/paper/on-the-importance-of-normalisation-layers-in/review/?hl=572,On the Importance of Normalisation Layers in Deep Learning with Piecewise Linear Activation Units,2015,,The University of Adelaide,,No
Spectral Representations for Convolutional Neural Networks,https://paperswithcode.com/paper/spectral-representations-for-convolutional,91.4,,,https://paperswithcode.com/paper/spectral-representations-for-convolutional/review/?hl=579,Spectral Representations for Convolutional Neural Networks,2015,,"Harvard University, MIT",,No
RMDL,https://paperswithcode.com/paper/rmdl-random-multimodel-deep-learning-for,91.21,,https://paperswithcode.com/paper/rmdl-random-multimodel-deep-learning-for#code,https://paperswithcode.com/paper/rmdl-random-multimodel-deep-learning-for/review/?hl=11239,RMDL: Random Multimodel Deep Learning for Classification,2018,,University of Virginia,,No
Network in Network,https://paperswithcode.com/paper/network-in-network,91.2,,https://paperswithcode.com/paper/network-in-network#code,https://paperswithcode.com/paper/network-in-network/review/?hl=549,Network In Network,2013,,National University of Singapore,,No
Deep Networks with Internal Selective Attention through Feedback Connections,https://paperswithcode.com/paper/deep-networks-with-internal-selective,90.8,,,https://paperswithcode.com/paper/deep-networks-with-internal-selective/review/?hl=556,Deep Networks with Internal Selective Attention through Feedback Connections,2014,,IDSIA,,No
Maxout Network,https://paperswithcode.com/paper/maxout-networks,90.65,,https://paperswithcode.com/paper/maxout-networks#code,https://paperswithcode.com/paper/maxout-networks/review/?hl=2479,Maxout Networks,2013,,University of Montreal,,No
DNN+Probabilistic Maxout,https://paperswithcode.com/paper/improving-deep-neural-networks-with,90.6,,,https://paperswithcode.com/paper/improving-deep-neural-networks-with/review/?hl=550,Improving Deep Neural Networks with Probabilistic Maxout Units,2013,,University of Freiburg,,No
GP EI,https://paperswithcode.com/paper/practical-bayesian-optimization-of-machine,90.5,,https://paperswithcode.com/paper/practical-bayesian-optimization-of-machine#code,https://paperswithcode.com/paper/practical-bayesian-optimization-of-machine#results,Practical Bayesian Optimization of Machine Learning Algorithms,2012,,"Universite de Sherbrooke, University of Toronto, Harvard University",,No
APAC,https://paperswithcode.com/paper/apac-augmented-pattern-classification-with,89.7,,,https://paperswithcode.com/paper/apac-augmented-pattern-classification-with/review/?hl=563,APAC: Augmented PAttern Classification with Neural Networks,2015,Denso Corp.,,,No
ensemble of 7 models,https://paperswithcode.com/paper/dynamic-routing-between-capsules,89.4,,https://paperswithcode.com/paper/dynamic-routing-between-capsules#code,https://paperswithcode.com/paper/dynamic-routing-between-capsules/review/?hl=10426,Dynamic Routing Between Capsules,2017,Google Brain,,,No
DCNN+GFE,https://paperswithcode.com/paper/deep-convolutional-neural-networks-as-generic,89.1,,,https://paperswithcode.com/paper/deep-convolutional-neural-networks-as-generic#results,Deep Convolutional Neural Networks as Generic Feature Extractors,2017,,University of Luebeck,,No
DCNN,https://paperswithcode.com/paper/imagenet-classification-with-deep,89,,https://paperswithcode.com/paper/imagenet-classification-with-deep#code,https://paperswithcode.com/paper/imagenet-classification-with-deep#results,ImageNet Classification with Deep Convolutional Neural Networks,2012,,University of Toronto,,No
MCDNN,https://paperswithcode.com/paper/multi-column-deep-neural-networks-for-image,88.8,,https://paperswithcode.com/paper/multi-column-deep-neural-networks-for-image#code,https://paperswithcode.com/paper/multi-column-deep-neural-networks-for-image/review/?hl=538,Multi-column Deep Neural Networks for Image Classification,2012,,IDSIA,,No
RReLU,https://paperswithcode.com/paper/empirical-evaluation-of-rectified-activations,88.8,,https://paperswithcode.com/paper/empirical-evaluation-of-rectified-activations#code,https://paperswithcode.com/paper/empirical-evaluation-of-rectified-activations/review/?hl=571,Empirical Evaluation of Rectified Activations in Convolutional Network,2015,,"University of Alberta, University of Washington, Carnegie Mellon University, HKUST",,No
ReNet,https://paperswithcode.com/paper/renet-a-recurrent-neural-network-based,87.7,,https://paperswithcode.com/paper/renet-a-recurrent-neural-network-based#code,https://paperswithcode.com/paper/renet-a-recurrent-neural-network-based/review/?hl=566,ReNet: A Recurrent Neural Network Based Alternative to Convolutional Networks,2015,,University of Montreal,,No
An Analysis of Unsupervised Pre-training in Light of Recent Advances,https://paperswithcode.com/paper/an-analysis-of-unsupervised-pre-training-in,86.7,,https://paperswithcode.com/paper/an-analysis-of-unsupervised-pre-training-in#code,https://paperswithcode.com/paper/an-analysis-of-unsupervised-pre-training-in/review/?hl=558,An Analysis of Unsupervised Pre-training in Light of Recent Advances,2014,,UIUC,,No
Stochastic Pooling,https://paperswithcode.com/paper/stochastic-pooling-for-regularization-of-deep,84.9,,https://paperswithcode.com/paper/stochastic-pooling-for-regularization-of-deep#code,https://paperswithcode.com/paper/stochastic-pooling-for-regularization-of-deep/review/?hl=545,Stochastic Pooling for Regularization of Deep Convolutional Neural Networks,2013,,New York University,,No
Improving neural networks by preventing co-adaptation of feature detectors,https://paperswithcode.com/paper/improving-neural-networks-by-preventing-co,84.4,,https://paperswithcode.com/paper/improving-neural-networks-by-preventing-co#code,https://paperswithcode.com/paper/improving-neural-networks-by-preventing-co#results,Improving neural networks by preventing co-adaptation of feature detectors,2012,,University of Toronto,,No
CCN,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image,83.36,0.906075M,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image#code,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image/review/?hl=36566,Vision Xformers: Efficient Attention for Image Classification,2021,,IIT Bombay,,No
CvN,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image,83.26,,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image#code,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image/review/?hl=37868,Vision Xformers: Efficient Attention for Image Classification,2021,,IIT Bombay,,No
CvP,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image,83.19,,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image#code,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image/review/?hl=37867,Vision Xformers: Efficient Attention for Image Classification,2021,,IIT Bombay,,No
UL-Hopfield,https://paperswithcode.com/paper/unsupervised-learning-using-pretrained-cnn,83.1,,,https://paperswithcode.com/paper/unsupervised-learning-using-pretrained-cnn/review/?hl=21865,Unsupervised Learning using Pretrained CNN and Associative Memory Bank,2018,,Louisiana State University,,No
DCGAN,https://paperswithcode.com/paper/unsupervised-representation-learning-with-1,82.8,,https://paperswithcode.com/paper/unsupervised-representation-learning-with-1#code,https://paperswithcode.com/paper/unsupervised-representation-learning-with-1/review/?hl=11240,Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks,2015,"Indico, Facebook AI Research",,,No
Discriminative Unsupervised Feature Learning with Convolutional Neural Networks,https://paperswithcode.com/paper/discriminative-unsupervised-feature-learning-1,82,,,https://paperswithcode.com/paper/discriminative-unsupervised-feature-learning-1#results,Discriminative Unsupervised Feature Learning with Convolutional Neural Networks,2014,,University of Freiburg,,No
Sign-symmetry,https://paperswithcode.com/paper/how-important-is-weight-symmetry-in,80.98,,https://paperswithcode.com/paper/how-important-is-weight-symmetry-in#code,https://paperswithcode.com/paper/how-important-is-weight-symmetry-in/review/?hl=20689,How Important is Weight Symmetry in Backpropagation?,2015,,MIT,,Yes
1 Layer K-means,https://paperswithcode.com/paper/unsupervised-representation-learning-with-1,80.6,,https://paperswithcode.com/paper/unsupervised-representation-learning-with-1#code,https://paperswithcode.com/paper/unsupervised-representation-learning-with-1/review/?hl=11241,Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks,2015,"Indico, Facebook AI Research",,,No
Learning with Recursive Perceptual Representations,https://paperswithcode.com/paper/learning-with-recursive-perceptual,79.7,,,https://paperswithcode.com/paper/learning-with-recursive-perceptual#results,Learning with Recursive Perceptual Representations,2012,,UC Berkeley,,No
PCANet,https://paperswithcode.com/paper/pcanet-a-simple-deep-learning-baseline-for,78.7,,https://paperswithcode.com/paper/pcanet-a-simple-deep-learning-baseline-for#code,https://paperswithcode.com/paper/pcanet-a-simple-deep-learning-baseline-for/review/?hl=552,PCANet: A Simple Deep Learning Baseline for Image Classification?,2014,,"Shanghai Tech University, UIUC",,No
FLSCNN,https://paperswithcode.com/paper/enhanced-image-classification-with-a-fast,75.9,,,https://paperswithcode.com/paper/enhanced-image-classification-with-a-fast/review/?hl=564,Enhanced Image Classification With a Fast-Learning Shallow Convolutional Neural Network,2015,,University of South Australia,,No
Hybrid Vision Nystromformer,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image,75.26,0.623706M,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image#code,https://paperswithcode.com/paper/vision-xformers-efficient-attention-for-image/review/?hl=36568,Vision Xformers: Efficient Attention for Image Classification,2021,,IIT Bombay,,No
