Ranking,Model,Paper Title,Accuracy,Parameters,Parameters (missing),Paper Link,Year,Tags,Industry Affiliation,Academia Affiliation
144,CvT-21,CvT: Introducing Convolutions to Vision Transformers,83.30%,,32M,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision,2021,Transformer,Microsoft Cloud AI,McGill University
145,T2T-ViT-14|384,Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet,83.30%,,,https://paperswithcode.com/paper/tokens-to-token-vit-training-vision,2021,Transformer,YITU Technology,National University of Singapore
146,ResNet-50,Meta Pseudo Labels,83.20%,96.5,,https://paperswithcode.com/paper/meta-pseudo-labels,2020,ResNet,Google Brain,
147,CycleMLP-B5,CycleMLP: A MLP-like Architecture for Dense Prediction,83.20%,,76M,https://paperswithcode.com/paper/cyclemlp-a-mlp-like-architecture-for-dense,2021,MLP,SenseTime ,The University of Hong Kong
148,ViL-Base-D,Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding,83.20%,,55.7M,https://paperswithcode.com/paper/2103-15358,2021,Transformer,Microsoft,International Digital Economy Academy
149,PVTv2-B3,PVTv2: Improved Baselines with Pyramid Vision Transformer,83.20%,,45.2M,https://paperswithcode.com/paper/pvtv2-improved-baselines-with-pyramid-vision,2021,,"IIAI, SenseTime","Nanjing University, The University of Hong Kong, Nanjing University of Science and Technology"
150,MultiGrain PNASNet,MultiGrain: a unified image embedding for classes and instances,83.20%,,,https://paperswithcode.com/paper/multigrain-a-unified-image-embedding-for,2019,,Facebook AI Research,
151,sMLPNet-S,Sparse MLP for Image Recognition: Is Self-Attention Really Necessary?,83.10%,,48.6M,https://paperswithcode.com/paper/sparse-mlp-for-image-recognition-is-self,2021,MLP,Microsoft Asia,University of Science and Technology of Hefei
152,MultiGrain SENet154,MultiGrain: a unified image embedding for classes and instances,83.10%,,,https://paperswithcode.com/paper/multigrain-a-unified-image-embedding-for,2019,,Facebook AI Research,
153,DeepVit-L*,DeepViT: Towards Deeper Vision Transformer,83.10%,,,https://paperswithcode.com/paper/deepvit-towards-deeper-vision-transformer,2021,Transformer,ByteDance,National University of Singapore
154,MultiGrain SENet154,MultiGrain: a unified image embedding for classes and instances,83.00%,96.50%,,https://paperswithcode.com/paper/multigrain-a-unified-image-embedding-for,2019,,Facebook AI Research,
155,ResNet50_vd_ssld,Semi-Supervised Recognition under a Noisy and Fine-grained Dataset,83.00%,96.40%,25.58M,https://paperswithcode.com/paper/semi-supervised-recognition-under-a-noisy-and,2020,ResNet,Baidu Inc.,
156,MViT-B-16,Multiscale Vision Transformers,83.00%,,37.0M,https://paperswithcode.com/paper/multiscale-vision-transformers,2021,,Facebook AI Research,UC Berkeley
157,ResNeSt-101,ResNeSt: Split-Attention Networks,83.00%,,,https://paperswithcode.com/paper/resnest-split-attention-networks,2020,,"Snap, Amazon, ByteDance, SenseTime",UC Davis
158,CvT-13,CvT: Introducing Convolutions to Vision Transformers,83%,,,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision,2021,Transformer,Microsoft Cloud AI,McGill University
159,Oct-ResNet-152,Drop an Octave: Reducing Spatial Redundancy in Convolutional Neural Networks with Octave Convolution,82.90%,96.30%,67M,https://paperswithcode.com/paper/drop-an-octave-reducing-spatial-redundancy-in,2019,,"YITU Technology, Facebook AI Research",National University of Singapore
160,PNASNet-5,Progressive Neural Architecture Search,82.90%,96.20%,86.1M,https://paperswithcode.com/paper/progressive-neural-architecture-search,2017,,Google AI,"Johns Hopkins University, Stanford University"
161,GFNet-H-B,Global Filter Networks for Image Classification,82.90%,96.20%,54M,https://paperswithcode.com/paper/global-filter-networks-for-image,2021,,,Tsinghua University
162,ViL-Medium-W,Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding,82.90%,,39.8M,https://paperswithcode.com/paper/2103-15358,2021,Transformer,Microsoft,International Digital Economy Academy
163,BoTNet T4,Bottleneck Transformers for Visual Recognition,82.80%,96.30%,54.7M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,Transformer,Google,UC Berkeley
164,CrossViT-18+,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification,82.80%,,44.3M,https://paperswithcode.com/paper/2103-14899,2021,Transformer,IBM,MIT
165,FunMatch - T384+224,Knowledge distillation: A good teacher is patient and consistent,82.80%,,,https://paperswithcode.com/paper/knowledge-distillation-a-good-teacher-is,2021,,Google Brain,
166,CCT-14/7x2 | 384,Escaping the Big Data Paradigm with Compact Transformers,82.71%,,,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact,2021,,PicsArt Inc.,"University of Oregon, UIUC"
167,NASNET-A,Learning Transferable Architectures for Scalable Image Recognition,82.70%,96.20%,88.9M,https://paperswithcode.com/paper/learning-transferable-architectures-for,2017,,Google Brain,
168,Container,Container: Context Aggregation Network,82.70%,,22.1M,https://paperswithcode.com/paper/container-context-aggregation-network,2021,,SenseTime,"University of Washington, CUHK"
169,MultiGrain SENet154,MultiGrain: a unified image embedding for classes and instances,82.70%,,,https://paperswithcode.com/paper/multigrain-a-unified-image-embedding-for,2019,,Facebook AI Research,
170,Harm-SE-RNX-101 64x4d,Harmonic Convolutional Networks based on Discrete Cosine Transform,82.66%,96.29%,88.2M,https://paperswithcode.com/paper/harmonic-convolutional-networks-based-on,2020,,,"Trinity College, Dublin City University"
171,FixEfficientNet-B1,Fixing the train-test resolution discrepancy: FixEfficientNet,82.60%,96.50%,7.8M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
172,EfficientNet-B4,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,82.60%,96.30%,19M,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for,2019,EfficientNet,Google Brain,
173,RVT-B*,Towards Robust Vision Transformer,82.60%,96%,91.8M,https://paperswithcode.com/paper/rethinking-the-design-principles-of-robust,2021,Transformer,Alibaba ,Swinburne University of Technology
174,T2T-ViTt-24,Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet,82.60%,,64.4M,https://paperswithcode.com/paper/tokens-to-token-vit-training-vision,2021,Transformer,YITU Technology,National University of Singapore
175,DeiT-S,Training data-efficient image transformers & distillation through attention,82.60%,,22M,https://paperswithcode.com/paper/training-data-efficient-image-transformers,2020,Transformer,Facebook AI Research,Sorbonne University
176,MultiGrain PNASNet,MultiGrain: a unified image embedding for classes and instances,82.60%,,,https://paperswithcode.com/paper/multigrain-a-unified-image-embedding-for,2019,,Facebook AI Research,
177,FixResNet-50 Billion,Fixing the train-test resolution discrepancy,82.50%,96.60%,,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy,2019,ResNet,Facebook AI Research,
178,ConViT-B+,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,82.50%,,152M,https://paperswithcode.com/paper/convit-improving-vision-transformers-with,2021,Transformer,Facebook AI Research,Ecole Normale
179,MetaFormer PoolFormer-M48,MetaFormer is Actually What You Need for Vision,82.50%,,73M,https://paperswithcode.com/paper/metaformer-is-actually-what-you-need-for,2021,,Sea AI Lab,National University of Singapore
180,CrossViT-18,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification,82.50%,,43.3M,https://paperswithcode.com/paper/2103-14899,2021,Transformer,IBM,MIT
181,CvT-21,CvT: Introducing Convolutions to Vision Transformers,82.50%,,,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision,2021,Transformer,Microsoft Cloud AI,McGill University
182,LeViT-384,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,82.50%,,,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s,2021,Transformer,Facebook AI Research,
183,NoisyStudent,Self-training with Noisy Student improves ImageNet classification,82.40%,96.30%,9.2M,https://paperswithcode.com/paper/self-training-with-noisy-student-improves,2019,EfficientNet,Google Brain,Carnegie Mellon University
184,DeiT-B with iRPE-K,Rethinking and Improving Relative Position Encoding for Vision Transformer,82.40%,,87M,https://paperswithcode.com/paper/rethinking-and-improving-relative-position,2021,Transformer,Microsoft Asia,SunYat-sen University
185,ConViT-B,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,82.40%,,86M,https://paperswithcode.com/paper/convit-improving-vision-transformers-with,2021,Transformer,Facebook AI Research,Ecole Normale
186,ResNet-152,ResNet strikes back: An improved training procedure in timm,82.40%,,60.2M,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training,2021,,Facebook AI Research,Sorbonne University
187,AutoFormer-base,AutoFormer: Searching Transformers for Visual Recognition,82.40%,,54M,https://paperswithcode.com/paper/autoformer-searching-transformers-for-visual,2021,Transformer,Microsoft Asia,Stony Brook University
188,T2T-ViTt-19,Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet,82.40%,,39.2M,https://paperswithcode.com/paper/tokens-to-token-vit-training-vision,2021,Transformer,YITU Technology,National University of Singapore
189,ColorNet,ColorNet: Investigating the importance of color spaces for image classification,82.35%,94.78%,,https://paperswithcode.com/paper/colornet-investigating-the-importance-of,2019,,,Tsinghua University
190,SCARLET-A4,SCARLET-NAS: Bridging the Gap between Stability and Scalability in Weight-sharing Neural Architecture Search,82.30%,96%,27.8M,https://paperswithcode.com/paper/scarletnas-bridging-the-gap-between,2019,,Xiaomi,
191,GLiT-Bases,GLiT: Neural Architecture Search for Global and Local Image Transformer,82.30%,,96.1M,https://paperswithcode.com/paper/glit-neural-architecture-search-for-global,2021,,SenseTime,"University of Sydney, University of Oxford"
192,T2T-ViT-24,Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet,82.30%,,64.4M,https://paperswithcode.com/paper/tokens-to-token-vit-training-vision,2021,Transformer,YITU Technology,National University of Singapore
193,CrossViT-15+,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification,82.30%,,28.2M,https://paperswithcode.com/paper/2103-14899,2021,Transformer,IBM,MIT
194,ResNeXt-101 32x8d,Exploring the Limits of Weakly Supervised Pretraining,82.20%,96.40%,88M,https://paperswithcode.com/paper/exploring-the-limits-of-weakly-supervised,2018,ResNeXt,Facebook,
195,SENet-152,Bottleneck Transformers for Visual Recognition,82.20%,95.90%,66.6M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,,Google,UC Berkeley
196,BossNet-T1+,BossNAS: Exploring Hybrid CNN-transformers with Block-wisely Self-supervised Neural Architecture Search,82.20%,95.7,,https://paperswithcode.com/paper/bossnas-exploring-hybrid-cnn-transformers,2021,Transformer,Alibaba,"Monash University, University of Oxford, RMIT University, SunYat-sen University"
197,DeepVit-L,DeepViT: Towards Deeper Vision Transformer,82.20%,,55M,https://paperswithcode.com/paper/deepvit-towards-deeper-vision-transformer,2021,Transformer,ByteDance,National University of Singapore
198,ConViT-S+,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,82.20%,,48M,https://paperswithcode.com/paper/convit-improving-vision-transformers-with,2021,Transformer,Facebook AI Research,Ecole Normale
199,ViTAE-S-Stage,ViTAE: Vision Transformer Advanced by Exploring Intrinsic Inductive Bias,82.20%,,19.2M,https://paperswithcode.com/paper/vitae-vision-transformer-advanced-by,2021,,JD Explore,University of Sydney
200,CAIT-XXS-36,Going deeper with Image Transformers,82.20%,,17.3M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
201,CvT-13-NAS,CvT: Introducing Convolutions to Vision Transformers,82.20%,,,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision,2021,Transformer,Microsoft Cloud AI,McGill University
202,Evo-LeViT-384*,Evo-ViT: Slow-Fast Token Evolution for Dynamic Vision Transformer,82.20%,,,https://paperswithcode.com/paper/evo-vit-slow-fast-token-evolution-for-dynamic,2021,,,"Shanghai Jiao Tong University, University of Chinese Academy of Sciences"
203,"ResNeXt-101, 64x4d, S=2",Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,82.13%,95.98%,,https://paperswithcode.com/paper/splitnet-divide-and-co-training,2020,ResNeXt,,"The Chinese University of Hong Kong, Shenzhen Institute of Artificial Intelligence and Robotics for Society"
204,CeiT-S,Incorporating Convolution Designs into Visual Transformers,82%,95.90%,24.2M,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,2021,Transformer,SenseTime ,Nanyang Technological University
205,PVTv2-B2,PVTv2: Improved Baselines with Pyramid Vision Transformer,82%,,25.4M,https://paperswithcode.com/paper/pvtv2-improved-baselines-with-pyramid-vision,2021,,"IIAI, SenseTime","Nanjing University, The University of Hong Kong, Nanjing University of Science and Technology"
206,ViL-Small,Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding,82%,,24.6M,https://paperswithcode.com/paper/2103-15358,2021,Transformer,Microsoft,International Digital Economy Academy
207,Container-Light,Container: Context Aggregation Network,82%,,20M,https://paperswithcode.com/paper/container-context-aggregation-network,2021,,SenseTime,"University of Washington, Shanghai AI Lab"
208,DIFFQ,Differentiable Model Compression via Pseudo Quantization Noise,82,,,https://paperswithcode.com/paper/differentiable-model-compression-via-pseudo,2021,,Facebook AI Research,
209,RVT-S*,Towards Robust Vision Transformer,81.90%,95.80%,23.3M,https://paperswithcode.com/paper/rethinking-the-design-principles-of-robust,2021,Transformer,Alibaba ,Swinburne University of Technology
210,ViL-Base-W,Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding,81.90%,,79M,https://paperswithcode.com/paper/2103-15358,2021,Transformer,Microsoft,International Digital Economy Academy
211,sMLPNet-T,Sparse MLP for Image Recognition: Is Self-Attention Really Necessary?,81.90%,,24.1M,https://paperswithcode.com/paper/sparse-mlp-for-image-recognition-is-self,2021,MLP,Microsoft Asia,University of Science and Technology of Hefei
212,PiT-S,Rethinking Spatial Dimensions of Vision Transformers,81.90%,,23.5M,https://paperswithcode.com/paper/rethinking-spatial-dimensions-of-vision,2021,Transformer,Naver Corp.,Sogang University
213,T2T-ViT-19,Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet,81.90%,,,https://paperswithcode.com/paper/tokens-to-token-vit-training-vision,2021,Transformer,YITU Technology,National University of Singapore
214,AOGNet-40M-AN,Attentive Normalization,81.87%,95.74%,,https://paperswithcode.com/paper/attentive-normalization,2019,,,NC State University
215,ResNet-152,ResNet strikes back: An improved training procedure in timm,81.80%,,60.2M,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training,2021,,Facebook AI Research,Sorbonne University
216,ResNet-200,Parametric Contrastive Learning,81.80%,,,https://paperswithcode.com/paper/parametric-contrastive-learning,2021,ResNet,SmartMore,The Chinese University of Hong Kong
217,FBNetV5,FBNetV5: Neural Architecture Search for Multiple Tasks in One Run,81.80%,,,https://paperswithcode.com/paper/fbnetv5-neural-architecture-search-for,2021,,Facebook ,Rice University
218,BoTNet T3,Bottleneck Transformers for Visual Recognition,81.70%,95.80%,33.5M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,Transformer,Google,UC Berkeley
219,AutoFormer-small,AutoFormer: Searching Transformers for Visual Recognition,81.70%,95.7,22.9M,https://paperswithcode.com/paper/autoformer-searching-transformers-for-visual,2021,Transformer,Microsoft Asia,Stony Brook University
220,T2T-ViT-14,Beyond Self-attention: External Attention using Two Linear Layers for Visual Tasks,81.70%,,,https://paperswithcode.com/paper/beyond-self-attention-external-attention,2021,Transformer,,Tsinghua University
221,ResNet-152,Sharpness-Aware Minimization for Efficiently Improving Generalization,81.60%,95.65,,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1,2020,ResNet,Google,
222,gMLP-B,Pay Attention to MLPs,81.6,,73M,https://paperswithcode.com/paper/pay-attention-to-mlps,2021,MLP,Google Brain,
223,CvT-13,CvT: Introducing Convolutions to Vision Transformers,81.60%,,,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision,2021,Transformer,Microsoft Cloud AI,McGill University
224,LeViT-256,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,81.60%,,,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s,2021,Transformer,Facebook,
225,NoisyStudent,Self-training with Noisy Student improves ImageNet classification,81.50%,95.80%,7.8M,https://paperswithcode.com/paper/self-training-with-noisy-student-improves,2019,EfficientNet,Google Brain,Carnegie Mellon University
226,Visformer-S,Visformer: The Vision-friendly Transformer,81.50%,,40.2M,https://paperswithcode.com/paper/visformer-the-vision-friendly-transformer,2021,Transformer,,"Beihang University, Johns Hopkins University, University of Science and Technology China, Xidian University, Zhengzhou University"
227,CrossViT-15,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification,81.50%,,27.4M,https://paperswithcode.com/paper/2103-14899,2021,Transformer,IBM,MIT
228,T2T-ViT-14,Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet,81.50%,,21.5M,https://paperswithcode.com/paper/tokens-to-token-vit-training-vision,2021,Transformer,YITU Technology,National University of Singapore
229,Transformer local-attention,Aggregating Nested Transformers,81.50%,,17M,https://paperswithcode.com/paper/aggregating-nested-transformers,2021,Transformer,Google,Rutgers University
230,CoE-Large 214 MFLOPs,Collaboration of Experts: Achieving 80% Top-1 Accuracy on ImageNet with 100M FLOPs,81.50%,,,https://paperswithcode.com/paper/collaboration-of-experts-achieving-80-top-1,2021,,Huawei Inc.,
231,PyConvResNet-101,Pyramidal Convolution: Rethinking Convolutional Neural Networks for Visual Recognition,81.49%,95.72%,42.3M,https://paperswithcode.com/paper/pyramidal-convolution-rethinking,2020,,IIAI,
232,SENet-101,Bottleneck Transformers for Visual Recognition,81.40%,95.70%,49.2M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,,Google,UC Berkeley
233,DeiT-S with iRPE-QKV,Rethinking and Improving Relative Position Encoding for Vision Transformer,81.40%,,22M,https://paperswithcode.com/paper/rethinking-and-improving-relative-position,2021,Transformer,Microsoft Asia,SunYat-sen University
234,DPN-131,Dual Path Networks,81.38%,95.77%,80M,https://paperswithcode.com/paper/dual-path-networks,2017,,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
235,ResNet-200,Adversarial AutoAugment,81.32%,95.30%,,https://paperswithcode.com/paper/adversarial-autoaugment-1,2019,ResNet,Huawei Inc.,
236,ResNet-152,Parametric Contrastive Learning,81.30%,95.4,,https://paperswithcode.com/paper/parametric-contrastive-learning,2021,ResNet,SmartMore,The Chinese University of Hong Kong
237,ConViT-S,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,81.30%,,27M,https://paperswithcode.com/paper/convit-improving-vision-transformers-with,2021,Transformer,Facebook AI Research,Ecole Normale
238,MultiGrain PNASNet,MultiGrain: a unified image embedding for classes and instances,81.30%,,,https://paperswithcode.com/paper/multigrain-a-unified-image-embedding-for,2019,,Facebook AI Research,
239,DPN-98,Dual Path Networks,81.28%,95.60%,,https://paperswithcode.com/paper/dual-path-networks,2017,,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
240,Res2Net-101,Res2Net: A New Multi-scale Backbone Architecture,81.23%,94.43%,,https://paperswithcode.com/paper/res2net-a-new-multi-scale-backbone,2019,,,"Nankai University, University of Oxford, UC Merced"
241,ResNet-50,Billion-scale semi-supervised learning for image classification,81.20%,,,https://paperswithcode.com/paper/billion-scale-semi-supervised-learning-for,2019,ResNet,Facebook AI Research,
242,ResNeXt-101,Shape-Texture Debiased Neural Network Training,81.2,,,https://paperswithcode.com/paper/shape-texture-debiased-neural-network-1,2020,ResNeXt,Google Brain,"Johns Hopkins University, Shanghai Jiao Tong University, University of California SantaCruz"
243,EfficientNet-B3,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,81.10%,95.50%,12M,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for,2019,EfficientNet,Google Brain,
244,ResNet-152x2-SAM,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,81.10%,,236M,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,2021,ResNet,Google Brain,UCLA
245,DeiT-S with iRPE-QK,Rethinking and Improving Relative Position Encoding for Vision Transformer,81.10%,,22M,https://paperswithcode.com/paper/rethinking-and-improving-relative-position,2021,Transformer,Microsoft Asia,SunYat-sen University
246,DPN-98,Dual Path Networks,81.06%,95.56%,,https://paperswithcode.com/paper/dual-path-networks,2017,,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
247,ViTAE-13M,ViTAE: Vision Transformer Advanced by Exploring Intrinsic Inductive Bias,81%,,13.2M,https://paperswithcode.com/paper/vitae-vision-transformer-advanced-by,2021,,JD Explore,University of Sydney
248,DPN-92,Dual Path Networks,80.96%,95.47%,,https://paperswithcode.com/paper/dual-path-networks,2017,,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
249,ResNeXt-101  64x4,Aggregated Residual Transformations for Deep Neural Networks,80.90%,95.60%,83.6M,https://paperswithcode.com/paper/aggregated-residual-transformations-for-deep,2016,ResNeXt,Facebook AI Research,UC San Diego
250,ResNet-101,Parametric Contrastive Learning,80.90%,95.2,,https://paperswithcode.com/paper/parametric-contrastive-learning,2021,ResNet,SmartMore,The Chinese University of Hong Kong
251,CentroidViT-S,Centroid Transformers: Learning to Abstract with Attention,80.9,,22.3M,https://paperswithcode.com/paper/centroid-transformers-learning-to-abstract,2021,Transformer,,UT Austin
252,DeiT-S with iRPE-K,Rethinking and Improving Relative Position Encoding for Vision Transformer,80.90%,,22M,https://paperswithcode.com/paper/rethinking-and-improving-relative-position,2021,Transformer,Microsoft Asia,SunYat-sen University
253,CAIT-XXS-24,Going deeper with Image Transformers,80.90%,,12M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
254,ResNet-200,Supervised Contrastive Learning,80.80%,95.60%,,https://paperswithcode.com/paper/supervised-contrastive-learning,2020,ResNet,"Google, Snap","MIT, Boston University"
255,LocalViT-S,LocalViT: Bringing Locality to Vision Transformers,80.80%,95.40%,,https://paperswithcode.com/paper/localvit-bringing-locality-to-vision,2021,Transformer,,"ETH Zurich, KU Leuven"
256,ResMLP-S24,ResMLP: Feedforward networks for image classification with data-efficient training,80.80%,,30M,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image,2021,,"Facebook AI Research, Valeo","Inria, Sorbonne University"
257,CoE-Large 194 MFLOPs,Collaboration of Experts: Achieving 80% Top-1 Accuracy on ImageNet with 100M FLOPs,80.70%,,,https://paperswithcode.com/paper/collaboration-of-experts-achieving-80-top-1,2021,,Huawei Inc.,
258,ResNet-50 + MEAL V2,MEAL V2: Boosting Vanilla ResNet-50 to 80%+ Top-1 Accuracy on ImageNet without Tricks,80.67,,,https://paperswithcode.com/paper/meal-v2-boosting-vanilla-resnet-50-to-80-top,2020,ResNet,,Carnegie Mellon University
259,DPN-92,Dual Path Networks,80.66%,95.34%,,https://paperswithcode.com/paper/dual-path-networks,2017,,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
260,HCGNet-C,Gated Convolutional Networks with Hybrid Connectivity for Image Classification,80.64%,95.07%,,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid,2019,,,University of Chinese Academy of Sciences 
261,ResNet-200,Fast AutoAugment,80.60%,95.30%,,https://paperswithcode.com/paper/fast-autoaugment,2019,ResNet,Kakao Brain,
262,ResNeXt-101,CutMix: Regularization Strategy to Train Strong Classifiers with Localizable Features,80.53%,94.97%,,https://paperswithcode.com/paper/cutmix-regularization-strategy-to-train,2019,ResNeXt,Naver Corp.,Yonsei University
263,NAT-M4,Neural Architecture Transfer,80.50%,95.20%,9.1M,https://paperswithcode.com/paper/neural-architecture-transfer,2020,,,"Southern University of Science and Technology, Michigan State University"
264,Attention-92,Residual Attention Network for Image Classification,80.50%,95.20%,,https://paperswithcode.com/paper/residual-attention-network-for-image,2017,,SenseTime,"Tsinghua University, The Chinese University of Hong Kong"
265,GLiT-Smalls,GLiT: Neural Architecture Search for Global and Local Image Transformer,80.50%,,24.6M,https://paperswithcode.com/paper/glit-neural-architecture-search-for-global,2021,,"SenseTime, Baidu Inc.","University of Sydney, University of Oxford"
266,DVT,Not All Images are Worth 16x16 Words: Dynamic Transformers for Efficient Image Recognition,80.43%,,,https://paperswithcode.com/paper/not-all-images-are-worth-16x16-words-dynamic,2021,Transformer,Huawei Inc.,"Beijing Academy of Intelligence, Tsinghua University"
267,ResNet50,ResNet strikes back: An improved training procedure in timm,80.40%,,25M,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training,2021,,Facebook AI Research,Sorbonne University
268,DeiT-S,ResNet strikes back: An improved training procedure in timm,80.40%,,22M,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training,2021,,Facebook AI Research,Sorbonne University
269,ResNet-50+AutoDropout+RandAugment,AutoDropout: Learning Dropout Patterns to Regularize Deep Networks,80.30%,,,https://paperswithcode.com/paper/autodropout-learning-dropout-patterns-to,2021,ResNet,Google Brain,Carnegie Mellon University
270,CCT-16/7x2,Escaping the Big Data Paradigm with Compact Transformers,80.28%,,,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact,2021,,PicsArt Inc.,"University of Oregon, UIUC"
271,iAFF-ResNeXt-50-32x4d,Attentional Feature Fusion,80.22%,94.90%,34.7M,https://paperswithcode.com/paper/attentional-feature-fusion,2020,ResNeXt,,"Nanjing University of Aeronautics and Astronautics, University of Munster, University of Copenhagen, University of Arizona"
272,FixEfficientNet-B0,Fixing the train-test resolution discrepancy: FixEfficientNet,80.20%,95.40%,5.3M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
273,ConvMLP-L,ConvMLP: Hierarchical Convolutional MLPs for Vision,80.20%,,42.7M,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for,2021,,PicsArt Inc.,"University of Oregon, UIUC"
274,Inception ResNet V2,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",80.10%,95.10%,55.8M,https://paperswithcode.com/paper/inception-v4-inception-resnet-and-the-impact,2016,ResNet,Google,
275,RandWire-WS,Exploring Randomly Wired Neural Networks for Image Recognition,80.10%,94.80%,,https://paperswithcode.com/paper/exploring-randomly-wired-neural-networks-for,2019,,Facebook AI Research,
276,WideNet-H,Go Wider Instead of Deeper,80.09%,,63M,https://paperswithcode.com/paper/go-wider-instead-of-deeper,2021,,,National University of Singapore
277,DPN-131,Dual Path Networks,80.07%,94.88%,80M,https://paperswithcode.com/paper/dual-path-networks,2017,,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
278,ResNet-101,Bottleneck Transformers for Visual Recognition,80%,95%,44.4M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,ResNet,Google,UC Berkeley
279,LeViT-192,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,80%,,,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s,2021,Transformer,Facebook,
280,CoE-Small 100 MFLOPs,Collaboration of Experts: Achieving 80% Top-1 Accuracy on ImageNet with 100M FLOPs,80%,,,https://paperswithcode.com/paper/collaboration-of-experts-achieving-80-top-1,2021,,Huawei Inc.,
281,DPN-98,Dual Path Networks,79.95%,94.85%,,https://paperswithcode.com/paper/dual-path-networks,2017,,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
282,ScaleNet-152,Data-Driven Neuron Allocation for Scale Aggregation Networks,79.94%,94.82%,,https://paperswithcode.com/paper/190409460,2019,,SenseTime,
283,ResNet-200,Identity Mappings in Deep Residual Networks,79.90%,95.20%,,https://paperswithcode.com/paper/identity-mappings-in-deep-residual-networks,2016,ResNet,Microsoft,
