Model,Paper Link,Accuracy,Extra Training Data,Title,Github Href,Paper Href,Year,Parameters,Industry Affiliation,Academia Affiliation,Country
Transformer local-attention,https://paperswithcode.com/paper/aggregating-nested-transformers,82.56,No,Aggregating Nested Transformers,https://paperswithcode.com/paper/aggregating-nested-transformers#code,https://paperswithcode.com/paper/aggregating-nested-transformers/review/?hl=33772,2021,,"Google AI, Google",Rutgers University,
Mixer-S/16- SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,82.4,No,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34330,2021,,Google,UCLA,
ResNet-18,https://paperswithcode.com/paper/boosting-discriminative-visual-representation,82.3,No,Boosting Discriminative Visual Representation Learning with Scenario-Agnostic Mixup,https://paperswithcode.com/paper/boosting-discriminative-visual-representation#code,https://paperswithcode.com/paper/boosting-discriminative-visual-representation#results,2021,,,Westlake University,
WARN,https://paperswithcode.com/paper/attend-and-rectify-a-gated-attention,82.18,Yes,Attend and Rectify: a Gated Attention Mechanism for Fine-Grained Recovery,https://paperswithcode.com/paper/attend-and-rectify-a-gated-attention#code,https://paperswithcode.com/paper/attend-and-rectify-a-gated-attention/review/?hl=10610,2019,,,Universitat Autonoma de Barcelona,
WRN+SWA,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and,82.15,No,Averaging Weights Leads to Wider Optima and Better Generalization,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and#code,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and/review/?hl=4158,2018,,Samsung,"Higher School of Economics, Cornell University, Lomonosov Moscow State University",
ResNet-18,https://paperswithcode.com/paper/automix-unveiling-the-power-of-mixup,82.04,No,Unveiling the Power of Mixup for Stronger Classifiers,https://paperswithcode.com/paper/automix-unveiling-the-power-of-mixup#code,https://paperswithcode.com/paper/automix-unveiling-the-power-of-mixup#results,2021,,,"Westlake University, University of Chinese Academy of Sciences",
Manifold Mixup,https://paperswithcode.com/paper/manifold-mixup-better-representations-by,81.96,No,Manifold Mixup: Better Representations by Interpolating Hidden States,https://paperswithcode.com/paper/manifold-mixup-better-representations-by#code,https://paperswithcode.com/paper/manifold-mixup-better-representations-by/review/?hl=7836,2018,,Facebook AI Research,"Aalto Univeristy, Mila - Quebec AI Institute, Sharif University of Technology",
HCGNet-A1,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid,81.87,No,Gated Convolutional Networks with Hybrid Connectivity for Image Classification,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid#code,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid/review/?hl=39441,2019,1.1M,,University of Chinese Academy of Sciences,
Residual Gates + WRN,https://paperswithcode.com/paper/learning-identity-mappings-with-residual,81.73,No,Learning Identity Mappings with Residual Gates,,https://paperswithcode.com/paper/learning-identity-mappings-with-residual/review/?hl=8229,2016,,,Federal University of Rio de Janeiro,
AA-Wide-ResNet,https://paperswithcode.com/paper/190409925,81.6,No,Attention Augmented Convolutional Networks,https://paperswithcode.com/paper/190409925#code,https://paperswithcode.com/paper/190409925/review/?hl=4811,2019,,Google Brain,,
PDO-eConv,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator,81.6,No,PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator#code,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator/review/?hl=33603,2020,,,Peking University,
Wide ResNet,https://paperswithcode.com/paper/wide-residual-networks,81.15,No,Wide Residual Networks,https://paperswithcode.com/paper/wide-residual-networks#code,https://paperswithcode.com/paper/wide-residual-networks/review/?hl=2486,2016,,,EcoledesPonts Paris Tech,
CoPaNet-R-164,https://paperswithcode.com/paper/deep-competitive-pathway-networks,81.1,No,Deep Competitive Pathway Networks,https://paperswithcode.com/paper/deep-competitive-pathway-networks#code,https://paperswithcode.com/paper/deep-competitive-pathway-networks/review/?hl=2490,2017,,,National Chiao Tung University,
SimpleNetv2,https://paperswithcode.com/paper/towards-principled-design-of-deep,80.29,No,Towards Principled Design of Deep Convolutional Networks: Introducing SimpNet,https://paperswithcode.com/paper/towards-principled-design-of-deep#code,https://paperswithcode.com/paper/towards-principled-design-of-deep/review/?hl=3858,2018,,"Arvenware, Technicolor","University of Bonn, Institute For Research In Fundamental Sciences",
UPANets,https://paperswithcode.com/paper/upanets-learning-from-the-universal-pixel,80.29,No,UPANets: Learning from the Universal Pixel Attention Networks,https://paperswithcode.com/paper/upanets-learning-from-the-universal-pixel#code,https://paperswithcode.com/paper/upanets-learning-from-the-universal-pixel#results,2021,,,"The University of Manchester, Yunnan University,  National Taipei University of Technology, National Chiao Tung University",
ResNet56 with reSGHMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange,80.14,No,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange#code,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange/review/?hl=24909,2020,,,"University of Southern California, Purdue University",
PDO-eConv,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator,79.99,No,PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator#code,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator/review/?hl=33601,2020,,,Peking University,
VGG11B,https://paperswithcode.com/paper/training-neural-networks-with-local-error,79.9,No,Training Neural Networks with Local Error Signals,https://paperswithcode.com/paper/training-neural-networks-with-local-error#code,https://paperswithcode.com/paper/training-neural-networks-with-local-error/review/?hl=11229,2019,,Kongsberg Seatex,,
NNCLR,https://paperswithcode.com/paper/with-a-little-help-from-my-friends-nearest,79,No,With a Little Help from My Friends: Nearest-Neighbor Contrastive Learning of Visual Representations,https://paperswithcode.com/paper/with-a-little-help-from-my-friends-nearest#code,https://paperswithcode.com/paper/with-a-little-help-from-my-friends-nearest/review/?hl=31445,2021,,"Google, DeepMind",,
PreActResNet18,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial,78.49,No,Regularizing Neural Networks via Adversarial Model Perturbation,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial#code,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial#results,2020,,,"University of Ottawa, Beihang University",
SimpleNetv1,https://paperswithcode.com/paper/lets-keep-it-simple-using-simple,78.37,No,"Lets keep it simple, Using simple architectures to outperform deeper and more complex architectures",https://paperswithcode.com/paper/lets-keep-it-simple-using-simple#code,https://paperswithcode.com/paper/lets-keep-it-simple-using-simple/review/?hl=3857,2016,,"Technicolor, Sensifai","Islamic Azad University, Institute For Research In Fundamental Sciences",
MobileNetV3-large x1.0,https://paperswithcode.com/paper/2003-13549,77.7,No,Rethinking Depthwise Separable Convolutions: How Intra-Kernel Correlations Lead to Improved MobileNets,https://paperswithcode.com/paper/2003-13549#code,https://paperswithcode.com/paper/2003-13549/review/?hl=20889,2020,,ZEISS Microscopy,,
CCT-6/3x1,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact,77.31,No,Escaping the Big Data Paradigm with Compact Transformers,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact#code,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact/review/?hl=35883,2021,3.17M,PicsArt Inc.,"University of Oregon, UIUC",
ResNet-1001,https://paperswithcode.com/paper/identity-mappings-in-deep-residual-networks,77.3,No,Identity Mappings in Deep Residual Networks,https://paperswithcode.com/paper/identity-mappings-in-deep-residual-networks#code,https://paperswithcode.com/paper/identity-mappings-in-deep-residual-networks/review/?hl=531,2016,,Microsoft,,
Evolution,https://paperswithcode.com/paper/large-scale-evolution-of-image-classifiers,77,No,Large-Scale Evolution of Image Classifiers,https://paperswithcode.com/paper/large-scale-evolution-of-image-classifiers#code,https://paperswithcode.com/paper/large-scale-evolution-of-image-classifiers/review/?hl=533,2017,,"Google, Google Brain",,
DIANet,https://paperswithcode.com/paper/dianet-dense-and-implicit-attention-network,76.98,No,DIANet: Dense-and-Implicit Attention Network,https://paperswithcode.com/paper/dianet-dense-and-implicit-attention-network#code,https://paperswithcode.com/paper/dianet-dense-and-implicit-attention-network/review/?hl=5190,2019,,,"New Oriental AI Research Academy, Northwestern Polytechnical University, National University of Singapore, Purdue University",
LP-BNN,https://paperswithcode.com/paper/encoding-the-latent-posterior-of-bayesian,76.85,No,Encoding the latent posterior of Bayesian Neural Networks for uncertainty quantification,https://paperswithcode.com/paper/encoding-the-latent-posterior-of-bayesian#code,https://paperswithcode.com/paper/encoding-the-latent-posterior-of-bayesian/review/?hl=22374,2020,,Valeo,"Institut Polytechnique de Paris, Universite Paris-Saclay, Aix Marseille University",
ResNet-18+MM+FRL,https://paperswithcode.com/paper/towards-class-specific-unit,76.64,No,Learning Class Unique Features in Fine-Grained Visual Classification,,https://paperswithcode.com/paper/towards-class-specific-unit/review/?hl=37893,2020,,Elecholic,"Jinan University, Tsinghua University, University of Toronto, The Chinese University of Hong Kong",
ResNet32 with reSGHMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange,76.55,No,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange#code,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange/review/?hl=24907,2020,,,"University of Southern California, Purdue University",
MomentumNet,https://paperswithcode.com/paper/momentum-residual-neural-networks,76.38 ± 0.42,No,Momentum Residual Neural Networks,https://paperswithcode.com/paper/momentum-residual-neural-networks#code,https://paperswithcode.com/paper/momentum-residual-neural-networks/review/?hl=31937,2021,,Google Brain,"Ecole Normale, CNRS",
SSCNN,https://paperswithcode.com/paper/spatially-sparse-convolutional-neural,75.7,No,Spatially-sparse convolutional neural networks,https://paperswithcode.com/paper/spatially-sparse-convolutional-neural#code,https://paperswithcode.com/paper/spatially-sparse-convolutional-neural/review/?hl=509,2014,,,University of Warwick,
Exponential Linear Units,https://paperswithcode.com/paper/fast-and-accurate-deep-network-learning-by,75.7,No,Fast and Accurate Deep Network Learning by Exponential Linear Units (ELUs),https://paperswithcode.com/paper/fast-and-accurate-deep-network-learning-by#code,https://paperswithcode.com/paper/fast-and-accurate-deep-network-learning-by/review/?hl=529,2015,,,Johannes Kepler University,
Stochastic Depth,https://paperswithcode.com/paper/deep-networks-with-stochastic-depth,75.42,No,Deep Networks with Stochastic Depth,https://paperswithcode.com/paper/deep-networks-with-stochastic-depth#code,https://paperswithcode.com/paper/deep-networks-with-stochastic-depth/review/?hl=2483,2016,,,"Cornell University, Tsinghua University",
ResNet v2-110,https://paperswithcode.com/paper/mish-a-self-regularized-non-monotonic-neural,74.41,No,Mish: A Self Regularized Non-Monotonic Activation Function,https://paperswithcode.com/paper/mish-a-self-regularized-non-monotonic-neural#code,https://paperswithcode.com/paper/mish-a-self-regularized-non-monotonic-neural#results,2019,,,KIIT,
ResNet20 with reSGHMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange,74.14,No,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange#code,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange/review/?hl=24905,2020,,,"University of Southern California, Purdue University",
MixMatch,https://paperswithcode.com/paper/mixmatch-a-holistic-approach-to-semi,74.1,No,MixMatch: A Holistic Approach to Semi-Supervised Learning,https://paperswithcode.com/paper/mixmatch-a-holistic-approach-to-semi#code,https://paperswithcode.com/paper/mixmatch-a-holistic-approach-to-semi/review/?hl=11230,2019,,Google,,
Fractional MP,https://paperswithcode.com/paper/fractional-max-pooling,73.6,No,Fractional Max-Pooling,https://paperswithcode.com/paper/fractional-max-pooling#code,https://paperswithcode.com/paper/fractional-max-pooling/review/?hl=513,2014,,,University of Warwick,
ResNet+ELU,https://paperswithcode.com/paper/deep-residual-networks-with-exponential,73.5,No,Deep Residual Networks with Exponential Linear Unit,,https://paperswithcode.com/paper/deep-residual-networks-with-exponential/review/?hl=532,2016,,,VJTI,
PDO-eConv,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator,73,No,PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator#code,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator/review/?hl=33599,2020,,,Peking University,
SOPCNN,https://paperswithcode.com/paper/stochastic-optimization-of-plain,72.96,No,Stochastic Optimization of Plain Convolutional Neural Networks with Simple methods,,https://paperswithcode.com/paper/stochastic-optimization-of-plain#results,2020,4.25M,,Pace University,
PDO-eConv,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator,72.87,No,PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator#code,https://paperswithcode.com/paper/pdo-econvs-partial-differential-operator/review/?hl=33597,2020,,,Peking University,
Tuned CNN,https://paperswithcode.com/paper/scalable-bayesian-optimization-using-deep,72.6,No,Scalable Bayesian Optimization Using Deep Neural Networks,https://paperswithcode.com/paper/scalable-bayesian-optimization-using-deep#code,https://paperswithcode.com/paper/scalable-bayesian-optimization-using-deep/review/?hl=514,2015,,Intel Corp.,"Harvard University, MIT, University of Toronto, NERSC",
CMsC,https://paperswithcode.com/paper/competitive-multi-scale-convolution,72.4,No,Competitive Multi-scale Convolution,,https://paperswithcode.com/paper/competitive-multi-scale-convolution/review/?hl=525,2015,,,The University of Adelaide,
Fitnet4-LSUV,https://paperswithcode.com/paper/all-you-need-is-a-good-init,72.3,No,All you need is a good init,https://paperswithcode.com/paper/all-you-need-is-a-good-init#code,https://paperswithcode.com/paper/all-you-need-is-a-good-init/review/?hl=528,2015,,,Czech Technical University in Prague,
BNM NiN,https://paperswithcode.com/paper/batch-normalized-maxout-network-in-network,71.1,No,Batch-normalized Maxout Network in Network,https://paperswithcode.com/paper/batch-normalized-maxout-network-in-network#code,https://paperswithcode.com/paper/batch-normalized-maxout-network-in-network/review/?hl=524,2015,,,National Chiao Tung University,
MIM,https://paperswithcode.com/paper/on-the-importance-of-normalisation-layers-in,70.8,No,On the Importance of Normalisation Layers in Deep Learning with Piecewise Linear Activation Units,,https://paperswithcode.com/paper/on-the-importance-of-normalisation-layers-in/review/?hl=521,2015,,,The University of Adelaide,
NiN+APL,https://paperswithcode.com/paper/learning-activation-functions-to-improve-deep,69.2,No,Learning Activation Functions to Improve Deep Neural Networks,https://paperswithcode.com/paper/learning-activation-functions-to-improve-deep#code,https://paperswithcode.com/paper/learning-activation-functions-to-improve-deep/review/?hl=512,2014,,Adobe Research,UC Irvine,
SWWAE,https://paperswithcode.com/paper/stacked-what-where-auto-encoders,69.1,No,Stacked What-Where Auto-encoders,https://paperswithcode.com/paper/stacked-what-where-auto-encoders#code,https://paperswithcode.com/paper/stacked-what-where-auto-encoders/review/?hl=523,2015,,,New York University,
NiN+Superclass+CDJ,https://paperswithcode.com/paper/deep-convolutional-decision-jungle-for-image,69,No,Deep Convolutional Decision Jungle for Image Classification,,https://paperswithcode.com/paper/deep-convolutional-decision-jungle-for-image#results,2017,,,University of Luebeck,
Spectral Representations for Convolutional Neural Networks,https://paperswithcode.com/paper/spectral-representations-for-convolutional,68.4,No,Spectral Representations for Convolutional Neural Networks,,https://paperswithcode.com/paper/spectral-representations-for-convolutional/review/?hl=526,2015,,,"Harvard University, MIT",
ReActNet-18,https://paperswithcode.com/paper/bnn-bn-training-binary-neural-networks,68.34,No,"""BNN - BN = ?"": Training Binary Neural Networks without Batch Normalization",https://paperswithcode.com/paper/bnn-bn-training-binary-neural-networks#code,https://paperswithcode.com/paper/bnn-bn-training-binary-neural-networks/review/?hl=30309,2021,,,"Cornell University, Carnegie Mellon University, UT Austin, University of Science and Technology China",
VDN,https://paperswithcode.com/paper/training-very-deep-networks,67.8,No,Training Very Deep Networks,https://paperswithcode.com/paper/training-very-deep-networks#code,https://paperswithcode.com/paper/training-very-deep-networks/review/?hl=527,2015,,,IDSIA,
DCNN+GFE,https://paperswithcode.com/paper/deep-convolutional-neural-networks-as-generic,67.7,No,Deep Convolutional Neural Networks as Generic Feature Extractors,,https://paperswithcode.com/paper/deep-convolutional-neural-networks-as-generic#results,2017,,,University of Luebeck,
Tree+Max-Avg pooling,https://paperswithcode.com/paper/generalizing-pooling-functions-in,67.6,No,"Generalizing Pooling Functions in Convolutional Neural Networks: Mixed, Gated, and Tree",https://paperswithcode.com/paper/generalizing-pooling-functions-in#code,https://paperswithcode.com/paper/generalizing-pooling-functions-in/review/?hl=522,2015,,,UC San Diego,
HD-CNN,https://paperswithcode.com/paper/hd-cnn-hierarchical-deep-convolutional-neural,67.4,No,HD-CNN: Hierarchical Deep Convolutional Neural Network for Large Scale Visual Recognition,https://paperswithcode.com/paper/hd-cnn-hierarchical-deep-convolutional-neural#code,https://paperswithcode.com/paper/hd-cnn-hierarchical-deep-convolutional-neural/review/?hl=517,2014,,eBay Inc.,"UIUC, Carnegie Mellon University, The University of Hong Kong",
Universum Prescription,https://paperswithcode.com/paper/universum-prescription-regularization-using,67.2,No,Universum Prescription: Regularization using Unlabeled Data,,https://paperswithcode.com/paper/universum-prescription-regularization-using/review/?hl=530,2015,,,New York University,
ACN,https://paperswithcode.com/paper/striving-for-simplicity-the-all-convolutional,66.3,No,Striving for Simplicity: The All Convolutional Net,https://paperswithcode.com/paper/striving-for-simplicity-the-all-convolutional#code,https://paperswithcode.com/paper/striving-for-simplicity-the-all-convolutional/review/?hl=511,2014,,,University of Freiburg,
DSN,https://paperswithcode.com/paper/deeply-supervised-nets,65.4,No,Deeply-Supervised Nets,https://paperswithcode.com/paper/deeply-supervised-nets#code,https://paperswithcode.com/paper/deeply-supervised-nets/review/?hl=508,2014,,Microsoft,UC San Diego,
NiN,https://paperswithcode.com/paper/network-in-network,64.3,No,Network In Network,https://paperswithcode.com/paper/network-in-network#code,https://paperswithcode.com/paper/network-in-network/review/?hl=505,2013,,,National University of Singapore,
Tree Priors,https://paperswithcode.com/paper/discriminative-transfer-learning-with-tree,63.2,No,Discriminative Transfer Learning with Tree-based Priors,,https://paperswithcode.com/paper/discriminative-transfer-learning-with-tree#results,2013,,,University of Toronto,
DNN+Probabilistic Maxout,https://paperswithcode.com/paper/improving-deep-neural-networks-with,61.9,No,Improving Deep Neural Networks with Probabilistic Maxout Units,,https://paperswithcode.com/paper/improving-deep-neural-networks-with/review/?hl=506,2013,,,University of Freiburg,
Maxout Network,https://paperswithcode.com/paper/maxout-networks,61.43,No,Maxout Networks,https://paperswithcode.com/paper/maxout-networks#code,https://paperswithcode.com/paper/maxout-networks/review/?hl=2480,2013,,,University of Montreal,
ResNet20+UnsharpMaskLayer,https://paperswithcode.com/paper/unsharp-masking-layer-injecting-prior,60.36,No,Unsharp Masking Layer: Injecting Prior Knowledge in Convolutional Networks for Image Classification,https://paperswithcode.com/paper/unsharp-masking-layer-injecting-prior#code,https://paperswithcode.com/paper/unsharp-masking-layer-injecting-prior#results,2019,,,Tecnologico de Costa Rica,
RReLU,https://paperswithcode.com/paper/empirical-evaluation-of-rectified-activations,59.8,No,Empirical Evaluation of Rectified Activations in Convolutional Network,https://paperswithcode.com/paper/empirical-evaluation-of-rectified-activations#code,https://paperswithcode.com/paper/empirical-evaluation-of-rectified-activations/review/?hl=520,2015,,,"University of Alberta, HKUST, University of Washington, Carnegie Mellon University",
Stochastic Pooling,https://paperswithcode.com/paper/stochastic-pooling-for-regularization-of-deep,57.5,No,Stochastic Pooling for Regularization of Deep Convolutional Neural Networks,https://paperswithcode.com/paper/stochastic-pooling-for-regularization-of-deep#code,https://paperswithcode.com/paper/stochastic-pooling-for-regularization-of-deep/review/?hl=501,2013,,,New York University,
Sign-symmetry,https://paperswithcode.com/paper/how-important-is-weight-symmetry-in,48.75,No,How Important is Weight Symmetry in Backpropagation?,https://paperswithcode.com/paper/how-important-is-weight-symmetry-in#code,https://paperswithcode.com/paper/how-important-is-weight-symmetry-in/review/?hl=20690,2015,,,MIT,
